id,Bulan,Tahun,Kota Cirebon,Kab Cirebon,Kuningan,Indramayu,Majalengka,Lain-lain
1,Januari,2021,347,557,50,107,41,66
2,Februari,2021,254,518,74,91,61,49
3,Maret,2021,394,684,60,113,59,45
4,April,2021,378,656,77,121,64,39
5,Mei,2021,374,746,75,118,57,55
6,Juni,2021,382,745,75,95,61,66
7,Juli,2021,455,540,63,76,67,78
8,Agustus,2021,330,506,73,67,46,36
9,September,2021,279,532,83,88,60,47
10,Oktober,2021,322,490,79,90,66,42
11,November,2021,319,623,79,95,58,34
12,Desember,2021,365,757,89,86,48,43
13,Januari,2022,391,690,82,101,50,38
14,Februari,2022,328,573,59,81,68,56
15,Maret,2022,302,563,74,89,45,50
16,April,2022,275,559,68,85,49,34
17,Mei,2022,355,628,61,56,48,57
18,Juni,2022,429,817,91,113,59,50
19,Juli,2022,390,736,94,102,55,66
20,Agustus,2022,418,875,96,115,68,78
21,September,2022,467,787,109,1300,86,72
22,Oktober,2022,511,962,117,133,72,79
23,November,2022,492,942,113,144,75,79
24,Desember,2022,487,889,147,135,66,86
25,Januari,2023,421,959,156,150,78,32
26,Februari,2023,460,817,134,123,72,71
27,Maret,2023,462,929,156,118,70,67
28,April,2023,374,771,109,85,48,78
29,Mei,2023,476,1023,144,131,67,89
30,Juni,2023,434,908,118,127,62,86
31,Juli,2023,487,996,129,115,69,78
32,Agustus,2023,399,653,252,286,233,199
33,September,2023,463,534,288,267,265,259
34,Oktober,2023,626,1286,129,131,87,143
35,November,2023,518,1182,132,130,78,173
36,Desember,2023,455,1083,111,157,78,111
37,Januari,2024,513,1127,140,123,86,125
38,Februari,2024,505,1138,126,104,61,94
39,Maret,2024,609,1289,145,112,69,86
40,April,2024,569,1191,120,96,64,121
41,Mei,2024,602,1443,125,146,80,129
42,Juni,2024,542,1142,149,125,76,119
43,Juli,2024,568,1172,154,143,88,134
44,Agustus,2024,532,1155,168,155,94,107
45,September,2024,518,1119,164,135,78,97
46,Oktober,2024,616,1317,186,147,88,114
47,November,2024,542,1279,179,148,89,81
48,Desember,2024,615,1410,151,133,79,87
