id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_wilayah,jumlah,satuan,bulan,tahun
1,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",513,ORANG,JANUARI,2024
2,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",1127,ORANG,JANUARI,2024
3,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,140,ORANG,JANUARI,2024
4,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,123,ORANG,JANUARI,2024
5,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,86,ORANG,JANUARI,2024
6,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,125,ORANG,JANUARI,2024
7,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",505,ORANG,FEBRUARI,2024
8,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",1138,ORANG,FEBRUARI,2024
9,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,126,ORANG,FEBRUARI,2024
10,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,104,ORANG,FEBRUARI,2024
11,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",MAJALENGKA,61,ORANG,FEBRUARI,2024
12,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",LAIN-LAIN,94,ORANG,FEBRUARI,2024
13,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KOTA
  CIREBON",609,ORANG,MARET,2024
14,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON","KAB
  CIREBON",1289,ORANG,MARET,2024
15,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",KUNINGAN,145,ORANG,MARET,2024
16,32,"JAWA
  BARAT",3274,"KOTA
  CIREBON",INDRAMAYU,112,ORANG,MARET,2024
